idmunici;ccdd;ccpp;ccdi;Departamento;Provincia;Distrito;Tipomuni;VFI_P69;P69_1;P69_1_T;P69_1_M;P69_1_H;P69_2;P69_2_T;P69_2_M;P69_2_H;VFI_P70;P70_1;P70A_1_1;P70A_1_2;P70A_1_3;P70_2;P70A_2_1;P70A_2_2;P70A_2_3;P70_3;P70A_3_1;P70A_3_2;P70A_3_3;P70_4;P70A_4_1;P70A_4_2;P70A_4_3;P70_5;P70A_5_1;P70A_5_2;P70A_5_3;P70A_5_O;P70_6;P70A_6_1;P70A_6_2;P70A_6_3;P70_7;P70A_7_1;P70A_7_2;P70A_7_3;P70_8;P70A_8_1;P70A_8_2;P70A_8_3;P70A_8_O;P70_9;P70A_9_1;P70A_9_2;P70A_9_3;P70_10;P70A_10_1;P70A_10_2;P70A_10_3;P70_11;P70A_11_1;P70A_11_2;P70A_11_3;P70A_11_O;P70_12;P70A_12_1;P70_13;P70A_13_1;P70_14;P70A_14_1;P70_15;P70A_15_1;P70_16;P70A_16_1;P70A_16_O;VFI_P71;P71;P71_1;P71A_1;P71_2;P71A_2;P71_3;P71A_3;P71_4;P71A_4;P71_5;P71A_5;P71_6;P71A_6;P71_7;P71A_7;P71_8;P71A_8;P71_9;P71A_9;P71_10;P71A_10;P71_11;P71A_11;P71_12;P71A_12;P71A_12_O;VFI_P72A;P72A;P72A_1;P72A_2;VFI_P72B;P72B;P72B_1;VFI_P73;P73_1;P73_2;P73_3;P73_4;P73_4_O;VFI_P74;P74;VFI_P75;P75;VFI_P76;P76_1;P76A_1;P76_2;P76A_2;P76_3;P76A_3;P76_4;P76A_4;P76_5;P76A_5;P76_6;P76_7;VFI_P77;P77_1;P77_2;P77_3;P77_4;VFI_P78;P78_1;P78_2;P78_3;P78_4;P78_4_O;P78_5;VFI_P79;P79_1;P79A_1_1;P79A_1_2;P79_2;P79A_2_1;P79A_2_2;P79_3;P79A_3_1;P79A_3_2;P79_4;P79A_4_1;P79A_4_2;P79_5;P79A_5_1;P79A_5_2;P79A_5_O;VFI_P80;P80_1;P80_2;P80_3;P80_4;P80_5;P80_6;P80_7;P80_8;P80_9;P80_9_O;P80_10
010111;01;01;11;AMAZONAS;CHACHAPOYAS;LEVANTO;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;3;2; ;1;1;1;1;2; ;2; ;1;1;0;0;0;1;1;2;0;0; ;0;1;2; ; ;1;4;0;2; ; ;2; ; ;2; ; ; ;1;0;0;0;4;0;0;0;0;0; ;0
010112;01;01;12;AMAZONAS;CHACHAPOYAS;MAGDALENA;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;12;2; ;2; ;2; ;2; ;2; ;1;1;0;3;0;1;1;2;0;0; ;0;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;0;0;3;0;0;6;0;0;0; ;0
010113;01;01;13;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;5;2; ;2; ;1;4;2; ;2; ;1;0;0;3;0;1;1;2;0;0; ;0;1;2; ; ;1;0;3;2; ; ;2; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ;10
010114;01;01;14;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2; ;2; ;2; ;1;2;2; ;2; ;1;0;0;3;0;1;1;2;0;0; ;0;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;0;0;3;0;0;0;0;0;0; ;0
010115;01;01;15;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;3;2; ;2; ;2; ;2; ;2; ;1;0;0;3;0;1;1;2;0;0; ;0;1;2; ; ;1;1;0;2; ; ;2; ; ;2; ; ; ;1;0;0;3;4;0;6;0;0;0; ;0
010116;01;01;16;AMAZONAS;CHACHAPOYAS;OLLEROS;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;0;0;0; ; ; ; ; ;5;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ;10
010117;01;01;17;AMAZONAS;CHACHAPOYAS;QUINJALCA;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;12;2; ;2; ;2; ;2; ;2; ;1;0;0;3;0;1;1;2;0;0; ;0;1;2; ; ;2; ; ;1;3;2;2; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ;10
010118;01;01;18;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ;4; ; ; ; ; ; ; ;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ;10
010119;01;01;19;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;8;1;1;1;1;2; ;2; ;2; ;1;0;0;3;0;1;1;2;3;0; ;0;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ;10
010120;01;01;20;AMAZONAS;CHACHAPOYAS;SOLOCO;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;3;0;1;1;0;0;0; ;0;1;2; ; ;1;0;1;2; ; ;2; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ;10
010121;01;01;21;AMAZONAS;CHACHAPOYAS;SONCHE;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;2; ;2; ;2; ;2; ;2; ;1;0;0;3;0;0; ; ; ; ; ;5;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ;10
010201;01;02;01;AMAZONAS;BAGUA;BAGUA;1;1;1;11;0;11;1;14;0;14;1;2; ; ; ;1;6;6;0;2; ; ; ;2; ; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ; ; ; ;1;30;2; ;1;12;2; ;2; ; ;1;1;1;10;1;4;2; ;2; ;1;1;1;10;1;10;1;2;2; ;2; ;2; ;2; ; ;1;1;4;4;1;1;4;1;1;2;3;0; ;1;2;1;1;1;1;6;1;1;1;1;1;10;1;2;1;1;1;1;0;3;0;1;1;2;3;0; ;0;1;2; ; ;1;6;0;1;10;0;2; ; ;2; ; ; ;1;1;0;0;4;5;6;0;0;0; ;0
010202;01;02;02;AMAZONAS;BAGUA;ARAMANGO;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;7;1;2;2; ;1;1;2; ;1;2;1;1;0;0;0;1;0;2;0;0; ;0;1;1;1;0;1;10;0;2; ; ;2; ; ;2; ; ; ;1;0;0;3;0;0;0;0;0;0; ;0
010203;01;02;03;AMAZONAS;BAGUA;COPALLIN;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;12;1;4;2; ;1;2;1;1;2; ;1;0;0;3;0;1;1;2;0;0; ;0;1;2; ; ;1;1;0;1;1;0;2; ; ;2; ; ; ;1;1;0;0;4;0;6;0;0;0; ;0
010204;01;02;04;AMAZONAS;BAGUA;EL PARCO;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;4;2; ;2; ;2; ;2; ;2; ;0; ; ; ;4; ; ; ; ; ; ; ;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ;10
010205;01;02;05;AMAZONAS;BAGUA;IMAZA;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;7;1;5;1;4;1;10;1;1;2; ;1;1;2;0;0;1;1;0;0;0; ;0;1;1;1;0;1;1;0;1;1;0;2; ; ;2; ; ; ;1;0;0;3;4;0;0;7;0;0; ;0
010206;01;02;06;AMAZONAS;BAGUA;LA PECA;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;12;2; ;2; ;1;6;2; ;2; ;1;0;0;3;0;0; ; ; ; ; ;5;1;2; ; ;2; ; ;1;2;0;2; ; ;2; ; ; ;1;0;0;0;0;0;6;0;0;0; ;0
010301;01;03;01;AMAZONAS;BONGARA;JUMBILLA;1;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;12;1;4;2; ;1;12;1;2;2; ;1;1;0;0;0;1;1;0;0;4;PLAN DE PATRULLAJE MIXTO;0;1;2; ; ;2; ; ;1;4;0;2; ; ;2; ; ; ;1;1;0;3;0;0;6;0;0;0; ;0
010302;01;03;02;AMAZONAS;BONGARA;CHISQUILLA;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;4;2; ;2; ;1;12;2; ;1;2;1;1;2;3;0;1;1;2;3;0; ;0;1;2; ; ;2; ; ;1;1;0;2; ; ;2; ; ; ;1;0;0;3;4;0;6;7;0;0; ;0
010303;01;03;03;AMAZONAS;BONGARA;CHURUJA;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;12;2; ;2; ;2; ;2; ;2; ;1;1;0;0;0;1;1;2;0;0; ;0;1;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ; ;1;0;0;3;4;0;0;0;0;0; ;0
010304;01;03;04;AMAZONAS;BONGARA;COROSHA;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;2;2; ;2; ;2; ;2; ;2; ;1;0;0;3;0;1;0;2;0;0; ;0;1;2; ; ;1;1;0;1;1;0;2; ; ;2; ; ; ;1;0;0;3;0;0;0;0;0;0; ;0
010305;01;03;05;AMAZONAS;BONGARA;CUISPES;2;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;12;1;4;1;6;1;1;1;1;1;2;1;1;0;0;0;1;1;2;3;0; ;0;1;2; ; ;1;0;1;2; ; ;2; ; ;2; ; ; ;1;0;0;3;0;0;0;0;0;0; ;0
